xpath, description, valueType, exampleValues, mappingRequired
/rss/channel/item/amg:season/media:credit/@role, Role label as defined in https://www.rssboard.org/media-rss#media-credit, xs:string, "actor", no
/rss/channel/item/amg:season/media:rating, https://www.rssboard.org/media-rss#media-rating Rating value at season level will belong to https://www.ebu.ch/metadata/ontologies/skos/ebu_ParentalGuidanceCode.rdf See: https://www.ebu.ch/metadata/ontologies/skos/ebu_PictureDisplayFormatCodeCS.htm, xs:anyUri, "http://www.ebu.ch/metadata/ontologies/skos/ebu_ParentalGuidanceCode#_14", yes
/rss/channel/item/amg:season/media:rating/@label, specifies the label of the rating which is same as skos:prefLabel in https://www.ebu.ch/metadata/ontologies/skos/ebu_ParentalGuidanceCode.rdf, xs:string, "PG-13", no
/rss/channel/item/amg:series, Element to express series specific information, xs:complexType, n/a, no
/rss/channel/item/amg:series/amg:broadcastDate, Date when series was aired first. https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_dateBroadcast.html, xs:date, "2019-01-01", yes
/rss/channel/item/amg:series/amg:releaseDate, Date when series was released first. https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_dateReleased.html, xs:date, "2019-01-01", yes
/rss/channel/item/amg:series/amg:keyword, Highly relevant keywords describing the series. Max 10 elements Ref: https://www.rssboard.org/media-rss#media-keywords, xs:string, "prison", no
/rss/channel/item/amg:series/amg:productionCompany, Name of the production company or studio, xs:string, "Lionsgate", no
/rss/channel/item/amg:series/amg:rights, Element to express rights associated with the media object, xs:complexType, n/a, no
/rss/channel/item/amg:series/amg:rights/amg:rightsEndDateTime, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_rightsEndDateTime.html, xs:dateTime, "2019-01-01T00:00:00Z", yes
/rss/channel/item/amg:series/amg:rights/amg:rightsLink, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_rightsLink.html This could point to a rightsLine URL, xs:string, "https://rightsline.com/123456", no
/rss/channel/item/amg:series/amg:rights/amg:rightsStartDateTime, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_rightsStartDateTime.html, xs:dateTime, "2019-01-01T00:00:00Z", yes
/rss/channel/item/amg:series/amg:rights/amg:serviceId, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_serviceId.html, xs:anyUri, "https://metadata.amagi.tv/skos/amagi_ebu_serviceIdCS#_roku", no
/rss/channel/item/amg:series/amg:rights/amg:serviceName, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_serviceName.html, xs:string, "Roku", no
/rss/channel/item/amg:series/amg:rights/amg:serviceType, Service type, xs:enumeration {AVOD SVOD TVOD DTH Cable}, "AVOD", no
/rss/channel/item/amg:series/amg:rights/amg:channelId, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_publicationChannelId.html, xs:anyUri, "AMG009881C1", yes
/rss/channel/item/amg:series/amg:rights/amg:channelName, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_publicationChannelName.html, xs:string, "Tastemade International", yes
/rss/channel/item/amg:series/amg:rights/amg:channelType, Channel type, xs:enumeration {linear}, "linear", no
/rss/channel/item/amg:series/amg:rights/amg:rightsTerritoryExcludes, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_rightsTerritoryExcludes.html Value as in https://www.ebu.ch/metadata/ontologies/skos/ebu_Iso3166_CountryCodeCS.htm, xs:anyUri, "http://www.ebu.ch/metadata/ontologies/skos/ebu_Iso3166_CountryCodeCS#_US", yes
